//X,Y,Z,R,G,B
1.59323525,2.12241697,-0.63574237,0,255,0
1.45625925,2.15974879,-0.66020823,0,255,0
1.54955935,2.04048276,-0.61692333,0,255,0
1.64547873,2.10542011,-0.65091550,0,255,0
1.44187057,2.05236554,-0.64730847,0,255,0
1.46302509,2.26289630,-0.66401434,0,255,0
1.65599215,2.20927978,-0.65823835,0,255,0
1.39673495,2.09022975,-0.65272957,0,255,0
1.63174057,2.00291252,-0.64034712,0,255,0
1.81486154,2.04221892,-0.62191606,0,255,0
0.13422492,1.86286438,-0.60540724,255,0,0
0.13463512,1.92889738,-0.61348170,255,0,0
0.13466509,1.99604917,-0.61917543,255,0,0
0.13509828,2.06980586,-0.62946177,255,0,0
0.13352305,2.13338566,-0.62321311,255,0,0
0.42444196,1.84573317,-0.60027891,255,0,0
0.16716661,2.17567754,-0.64267391,255,0,0
0.41891393,1.90698886,-0.60381228,255,0,0
0.13459744,2.22118664,-0.64164865,255,0,0
0.42914304,1.93048966,-0.60696661,255,0,0
0.48856181,1.87077165,-0.60046184,255,0,0
0.41466066,1.97422266,-0.61239845,255,0,0
0.21143134,2.22007966,-0.65509921,255,0,0
0.40780562,2.03774118,-0.61252230,255,0,0
0.49391857,1.94688535,-0.60909408,255,0,0
0.43437380,2.03138924,-0.62105900,255,0,0
0.54514718,1.90807784,-0.58934051,255,0,0
0.39998913,2.10130763,-0.60976881,255,0,0
0.52919543,1.94620526,-0.62377292,255,0,0
0.45630670,2.05511713,-0.61687416,255,0,0
0.49624687,2.01872158,-0.60830986,255,0,0
0.56149524,1.96296680,-0.61825800,255,0,0
0.53095144,2.01313734,-0.61423784,255,0,0
0.43723643,2.12699604,-0.62427366,255,0,0
0.45243746,2.15168047,-0.62141860,255,0,0
0.67393339,1.86676061,-0.61404192,255,0,0
0.50203729,2.10300541,-0.61813956,255,0,0
0.60182697,1.97936070,-0.60049760,255,0,0
0.56538355,2.03635907,-0.61260402,255,0,0
0.53380638,2.08641791,-0.60900843,255,0,0
0.60671067,1.98980343,-0.61373222,255,0,0
0.55876225,2.05557561,-0.64216232,255,0,0
0.59792650,2.01549387,-0.61907756,255,0,0
0.41279727,2.23330808,-0.68345046,255,0,0
0.62389117,1.99881756,-0.61370575,255,0,0
0.62652284,2.00091147,-0.60794055,255,0,0
0.44072136,2.23125196,-0.63040477,255,0,0
0.67354643,1.93868208,-0.62255931,255,0,0
0.44631389,2.24295235,-0.61624044,255,0,0
0.50450420,2.18214822,-0.61773568,255,0,0
0.60708481,2.07482839,-0.62431616,255,0,0
0.57121068,2.12268186,-0.61727649,255,0,0
0.63544929,2.05707192,-0.62867630,255,0,0
0.54091901,2.17865849,-0.62046009,255,0,0
0.67177671,2.01172471,-0.62896073,255,0,0
0.55464911,2.16325402,-0.64933211,255,0,0
0.60995120,2.10459924,-0.62209105,255,0,0
0.62624657,2.08692813,-0.61513501,255,0,0
0.60568386,2.11705899,-0.63244885,255,0,0
0.66157705,2.07590604,-0.62129492,255,0,0
0.62481958,2.12442350,-0.63694322,255,0,0
0.60653877,2.16132092,-0.63173193,255,0,0
0.62961936,2.14084291,-0.62472665,255,0,0
0.57657659,2.21029377,-0.61859179,255,0,0
0.62662834,2.18048859,-0.62542474,255,0,0
0.61023152,2.20618272,-0.61611271,255,0,0
0.60781813,2.20778203,-0.62990803,255,0,0
0.66079247,2.15600944,-0.62970716,255,0,0
0.61760759,2.22561026,-0.63198811,255,0,0
0.60487115,2.24847794,-0.63520741,255,0,0
0.62910587,2.24461222,-0.63568217,255,0,0
0.86898673,2.00206661,-0.62187350,255,0,0
0.87753654,2.11257172,-0.63758981,255,0,0
-2.01300240,1.83110034,-0.58626521,255,0,0
-1.84334445,2.02035546,-0.60933965,255,0,0
-2.02312589,1.94669962,-0.60655797,255,0,0
-2.00256467,2.06871462,-0.57127959,255,0,0
-2.02361250,2.05879545,-0.61901379,255,0,0
-2.09516430,2.14212370,-0.57456279,255,0,0
-2.03247643,2.18383813,-0.63900620,255,0,0
-2.04503226,2.19602966,-0.61456305,255,0,0
-2.14286232,2.29395556,-0.62242383,255,0,0
-2.20762181,2.14776826,-0.55937558,255,0,0
-0.85098112,2.12635851,-0.62978721,255,0,0
-0.83397841,2.14606404,-0.62362981,255,0,0
-1.25092125,1.80139506,-0.62392825,255,0,0
-1.20907664,1.87040412,-0.62306082,255,0,0
-1.10603964,1.99700511,-0.63225931,255,0,0
-1.21430445,1.94325089,-0.63163805,255,0,0
-1.11000335,2.06552696,-0.62710166,255,0,0
-1.20945942,2.00852466,-0.62647271,255,0,0
-1.12114489,2.14496136,-0.63217306,255,0,0
-1.21192503,2.08337307,-0.63110477,255,0,0
-1.57196772,1.77165437,-0.62754202,255,0,0
-1.37310016,2.09195495,-0.67255926,255,0,0
-1.52999580,1.89974308,-0.66221958,255,0,0
-1.51894498,1.97834003,-0.65909845,255,0,0
-1.61088002,1.87073123,-0.67064571,255,0,0
-1.62642765,1.91984034,-0.62759608,255,0,0
-1.52030611,2.07304454,-0.67092144,255,0,0
-1.61851192,1.94735050,-0.67482811,255,0,0
-1.62530470,2.00596213,-0.62274444,255,0,0
-1.75789785,1.80953622,-0.61055517,255,0,0
-1.61967063,2.02050042,-0.67099184,255,0,0
-1.77403057,1.83085358,-0.67477977,255,0,0
-1.75695479,1.88248062,-0.61585200,255,0,0
-1.61984694,2.09488440,-0.66594291,255,0,0
-1.76417041,1.87794125,-0.66029084,255,0,0
-1.63226128,2.10340881,-0.62632847,255,0,0
-1.75379241,1.95582402,-0.61878842,255,0,0
-1.76924419,1.91851282,-0.67867422,255,0,0
-1.75165510,1.99734867,-0.66985285,255,0,0
-1.76637375,1.97870970,-0.66302967,255,0,0
-1.74899828,2.02993631,-0.61998415,255,0,0
-1.87149882,1.83981156,-0.61190730,255,0,0
-1.89749348,1.81930017,-0.64469457,255,0,0
-1.85347211,1.92451096,-0.60639566,255,0,0
-1.89597118,1.87107038,-0.65025604,255,0,0
-1.88747537,1.89596879,-0.64386404,255,0,0
-1.77074814,2.08639050,-0.66844493,255,0,0
-1.87047017,1.96925890,-0.63675451,255,0,0
-1.89893985,1.97627473,-0.65156651,255,0,0
-1.86283851,2.05083203,-0.63815188,255,0,0
-1.79306984,2.15220714,-0.67522484,255,0,0
-1.91582990,2.09928608,-0.66576511,255,0,0
0.62064540,1.89431787,-0.57089084,255,0,0
0.61949790,1.92260635,-0.57358110,255,0,0
0.77104169,2.05325174,-0.58826202,255,0,0
0.77181399,2.13912153,-0.59982795,255,0,0
0.74673146,2.18067431,-0.60967225,255,0,0
0.82206589,2.22561407,-0.62216431,255,0,0
1.22582459,1.91610873,-0.58220339,255,0,0
1.21530008,2.05556178,-0.59146637,255,0,0
1.21211827,2.13108921,-0.59904444,255,0,0
1.29669046,1.98349941,-0.58295912,255,0,0
1.20714772,2.20763779,-0.60468030,255,0,0
1.30255318,2.01978374,-0.59005779,255,0,0
1.24408817,2.18095112,-0.61273360,255,0,0
1.30554163,2.07227325,-0.58934891,255,0,0
1.29475439,2.10096812,-0.61231709,255,0,0
1.30795944,2.10385084,-0.59185135,255,0,0
1.36927760,1.99012101,-0.59347546,255,0,0
1.30532312,2.15104389,-0.58112109,255,0,0
1.23994839,2.28328967,-0.61874139,255,0,0
1.29915822,2.18673611,-0.61418021,255,0,0
1.31159806,2.18911386,-0.59115911,255,0,0
1.38461721,2.03855848,-0.58277488,255,0,0
1.40313053,1.99564743,-0.58270746,255,0,0
1.37879097,2.11768579,-0.57979488,255,0,0
1.32129526,2.25945783,-0.59849679,255,0,0
1.37902069,2.20911336,-0.58596188,255,0,0
1.41861343,2.18234038,-0.61703831,255,0,0
1.38082433,2.26848531,-0.63014787,255,0,0
1.40608776,2.25973225,-0.61135936,255,0,0
1.55838776,1.98978889,-0.58963323,255,0,0
1.50260830,2.20338416,-0.61017710,255,0,0
1.53489983,2.25261450,-0.62961078,255,0,0
1.58144426,2.20998287,-0.63152772,255,0,0
1.85241890,2.00164461,-0.59183919,255,0,0
1.81107211,2.13891101,-0.61873668,255,0,0
1.85862088,2.08542895,-0.59570044,255,0,0
1.80473769,2.23653650,-0.61333174,255,0,0
1.85653603,2.16604543,-0.59291375,255,0,0
1.84705102,2.24330020,-0.58422118,255,0,0
0.73600221,1.99545598,-0.59905690,255,0,0
0.77834624,1.98500323,-0.59334350,255,0,0
0.74358535,2.09029031,-0.60903382,255,0,0
0.81360269,1.99739909,-0.60400981,255,0,0
0.78130656,1.91216874,-0.58973873,255,0,0
0.81412774,1.93192387,-0.60443264,255,0,0
0.81903720,2.07394624,-0.61456478,255,0,0
0.78604692,1.84476507,-0.58984959,255,0,0
0.82301188,2.15190148,-0.62269998,255,0,0
0.93249506,2.13282728,-0.62982768,255,0,0
0.88146895,2.21951938,-0.64424026,255,0,0
0.92927814,2.23933220,-0.63902622,255,0,0
1.17922163,1.96278584,-0.61319196,255,0,0
1.19367242,2.07328105,-0.63290888,255,0,0
1.23087049,1.99428570,-0.59939837,255,0,0
1.20156598,2.17949414,-0.64269257,255,0,0
1.25364304,2.09173012,-0.61495143,255,0,0
1.27542055,1.92870319,-0.59566748,255,0,0
1.28843331,2.01649356,-0.60811943,255,0,0
1.39100301,2.09998417,-0.62947661,255,0,0
1.39325225,2.19188952,-0.63964707,255,0,0
1.39693427,2.19690299,-0.65168113,255,0,0
1.42887926,2.10485053,-0.62019318,255,0,0
1.52168286,2.11424232,-0.62163579,255,0,0
1.54602289,2.14871645,-0.62716722,255,0,0
-0.92965007,1.87568390,-0.63459903,0,0,0
-0.85180140,1.80254924,-0.62984669,0,0,0
-0.89634901,1.90044534,-0.63652956,0,0,0
-0.92853647,1.96674418,-0.64309084,0,0,0
-0.86242914,1.87082624,-0.63754052,0,0,0
-0.89022583,1.96020293,-0.62850904,0,0,0
-0.85884029,1.92018867,-0.61520159,0,0,0
-0.86496276,1.93084800,-0.62952268,0,0,0
-0.84948832,1.92582130,-0.64429468,0,0,0
-0.81016576,1.87952948,-0.63688642,0,0,0
-0.85067135,1.95435596,-0.62878340,0,0,0
-0.92229235,2.05332327,-0.64270043,0,0,0
-0.86703724,1.99181283,-0.62048960,0,0,0
-0.88620079,2.02623749,-0.62614626,0,0,0
-0.91169155,2.06815195,-0.65148830,0,0,0
-0.85456866,2.01936841,-0.62134457,0,0,0
-0.84119815,1.99743998,-0.64204621,0,0,0
-0.80501801,1.94787633,-0.63569647,0,0,0
-0.87831718,2.06803131,-0.62844509,0,0,0
-0.82866877,2.02099299,-0.63869178,0,0,0
-0.84337538,2.05005288,-0.62811339,0,0,0
-0.88595581,2.10345221,-0.63413590,0,0,0
-0.80170023,2.00359941,-0.65639085,0,0,0
-0.80456507,2.02704096,-0.64475954,0,0,0
-0.83475751,2.07445717,-0.64327419,0,0,0
-0.70373607,1.89378774,-0.64999509,0,0,0
-0.83881915,2.10917735,-0.65814233,0,0,0
-0.81955314,2.08703971,-0.65675551,0,0,0
-0.79689503,2.09634972,-0.63835758,0,0,0
-0.80059028,2.10007668,-0.65029353,0,0,0
-0.68844259,1.94096220,-0.63835651,0,0,0
-0.69738740,1.97052085,-0.64602602,0,0,0
-0.62951797,1.86306167,-0.62892264,0,0,0
-0.68806624,2.01863766,-0.63076890,0,0,0
-0.69246203,2.05391669,-0.64575171,0,0,0
-0.62835550,1.94913638,-0.64016372,0,0,0
-0.69355607,2.11394596,-0.63756084,0,0,0
-0.61754507,2.01302528,-0.62252861,0,0,0
-0.68873686,2.14440584,-0.64870632,0,0,0
-0.61635196,2.10732174,-0.63436717,0,0,0
-0.71234828,2.24845982,-0.67662686,0,0,0
-0.46749809,1.85402155,-0.62645113,0,0,0
-0.46994111,1.92101097,-0.63497418,0,0,0
-0.46694741,1.93743598,-0.63357627,0,0,0
-0.46994421,1.98395038,-0.63405246,0,0,0
-0.46412569,2.03367162,-0.64133179,0,0,0
-0.46947622,2.04758573,-0.63099074,0,0,0
-0.46873766,2.11246228,-0.62650889,0,0,0
-0.46017870,2.13136482,-0.64541471,0,0,0
-0.26640761,1.81087124,-0.59358460,0,0,0
-0.26334822,1.90355659,-0.63733977,0,0,0
-0.26119432,1.96658480,-0.63425940,0,0,0
-0.19662566,1.83942115,-0.62233496,0,0,0
-0.21182168,1.89355302,-0.64282101,0,0,0
-0.20204358,1.89486897,-0.61614716,0,0,0
-0.25877714,2.04148865,-0.64300734,0,0,0
-0.21533674,1.96192825,-0.64759207,0,0,0
-0.20898455,1.96123040,-0.62261862,0,0,0
-0.25674787,2.10605168,-0.63516122,0,0,0
-0.21584925,2.02867079,-0.62665123,0,0,0
-0.21902779,2.03131175,-0.64986748,0,0,0
-0.17664582,1.92686737,-0.64396256,0,0,0
-0.14251259,1.88535738,-0.62083274,0,0,0
-0.22346339,2.10274649,-0.63515973,0,0,0
-0.22288369,2.10161781,-0.64959896,0,0,0
-0.17269623,2.00915766,-0.64025700,0,0,0
-0.13951123,1.95531189,-0.62279838,0,0,0
-0.25375783,2.20700455,-0.66532785,0,0,0
-0.22642681,2.18465114,-0.66024667,0,0,0
-0.07102621,1.81848049,-0.58660251,0,0,0
-0.13674557,2.03194141,-0.62911177,0,0,0
-0.16995808,2.10507369,-0.64602530,0,0,0
-0.09291290,1.92935467,-0.62504798,0,0,0
-0.07310794,1.89121652,-0.59324783,0,0,0
-0.07674997,1.93415201,-0.64223093,0,0,0
-0.13296917,2.09854507,-0.61976618,0,0,0
-0.07538570,1.96024549,-0.62517709,0,0,0
-0.10066248,2.02988672,-0.63113129,0,0,0
-0.08799271,2.00185633,-0.62494379,0,0,0
